Year;Age1;Age2;Female;Male;Total
1899;   ;0;64059;79768;143827
1899;   ;1;12119;12822;24941
1899;   ;2;6983;7014;13997
1899;   ;3;4329;4470;8799
1899;   ;4;3220;3111;6331
1899;   ;5;2284;2222;4506
1899;   ;6;1834;1773;3607
1899;   ;7;1475;1460;2935
1899;   ;8;1353;1296;2649
1899;   ;9;1175;1180;2355
1899;1;0;1175;1051;2226
1899;1;1;1162;1050;2212
1899;1;2;1100;1011;2111
1899;1;3;1251;987;2238
1899;1;4;1373;1137;2510
1899;1;5;1535;1230;2765
1899;1;6;1693;1493;3186
1899;1;7;1871;1795;3666
1899;1;8;1986;1982;3968
1899;1;9;1959;2043;4002
1899;2;0;2187;2364;4551
1899;2;1;2193;2724;4917
1899;2;2;2377;2936;5313
1899;2;3;2370;2601;4971
1899;2;4;2291;2568;4859
1899;2;5;2390;2291;4681
1899;2;6;2393;2460;4853
1899;2;7;2135;2191;4326
1899;2;8;2201;2183;4384
1899;2;9;2151;2139;4290
1899;3;0;2250;2314;4564
1899;3;1;2116;2277;4393
1899;3;2;2383;2552;4935
1899;3;3;2277;2506;4783
1899;3;4;2261;2536;4797
1899;3;5;2385;2605;4990
1899;3;6;2392;2844;5236
1899;3;7;2322;2710;5032
1899;3;8;2437;2841;5278
1899;3;9;2297;2711;5008
1899;4;0;2406;3121;5527
1899;4;1;2054;2710;4764
1899;4;2;2309;2995;5304
1899;4;3;2296;2860;5156
1899;4;4;2207;2899;5106
1899;4;5;2403;3153;5556
1899;4;6;2416;3232;5648
1899;4;7;2493;3263;5756
1899;4;8;2761;3602;6363
1899;4;9;2673;3397;6070
1899;5;0;2974;3732;6706
1899;5;1;2786;3401;6187
1899;5;2;2997;3885;6882
1899;5;3;3130;3847;6977
1899;5;4;3161;4217;7378
1899;5;5;3416;4323;7739
1899;5;6;3679;4512;8191
1899;5;7;3769;4722;8491
1899;5;8;4126;5067;9193
1899;5;9;3944;4921;8865
1899;6;0;4673;5542;10215
1899;6;1;4274;5050;9324
1899;6;2;4959;5575;10534
1899;6;3;5345;5904;11249
1899;6;4;5547;6042;11589
1899;6;5;5905;6257;12162
1899;6;6;5955;6232;12187
1899;6;7;6125;6402;12527
1899;6;8;6793;7083;13876
1899;6;9;6865;7173;14038
1899;7;0;7656;7508;15164
1899;7;1;6991;7298;14289
